epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
116,3105.72,0.32228,0.51106,0.26062,0,0,0,0,nan,nan,nan,0.000241,0.000241,0.000241
117,3132.05,0.32211,0.50286,0.25765,0,0,0,0,nan,nan,nan,0.0002344,0.0002344,0.0002344
118,3158.19,0.32953,0.50048,0.26561,0,0,0,0,nan,nan,nan,0.0002278,0.0002278,0.0002278
119,3184.56,0.32449,0.49816,0.26434,0,0,0,0,nan,nan,nan,0.0002212,0.0002212,0.0002212
120,3210.72,0.31708,0.48263,0.25667,0,0,0,0,nan,nan,nan,0.0002146,0.0002146,0.0002146
121,3236.83,0.33215,0.48954,0.26078,0,0,0,0,nan,nan,nan,0.000208,0.000208,0.000208
122,3263.18,0.31682,0.48616,0.25362,0,0,0,0,nan,nan,nan,0.0002014,0.0002014,0.0002014
123,3289.28,0.31375,0.47481,0.24225,0,0,0,0,nan,nan,nan,0.0001948,0.0001948,0.0001948
124,3315.58,0.31188,0.49329,0.25457,0,0,0,0,nan,nan,nan,0.0001882,0.0001882,0.0001882
125,3341.72,0.30464,0.48154,0.24186,0,0,0,0,nan,nan,nan,0.0001816,0.0001816,0.0001816
126,3367.86,0.30487,0.48009,0.24005,0,0,0,0,nan,nan,nan,0.000175,0.000175,0.000175
127,3394.2,0.30993,0.46169,0.24676,0,0,0,0,nan,nan,nan,0.0001684,0.0001684,0.0001684
128,3420.34,0.30324,0.45876,0.2412,0,0,0,0,nan,nan,nan,0.0001618,0.0001618,0.0001618
129,3446.61,0.30174,0.46813,0.23868,0,0,0,0,nan,nan,nan,0.0001552,0.0001552,0.0001552
130,3472.72,0.30394,0.46931,0.24114,0,0,0,0,nan,nan,nan,0.0001486,0.0001486,0.0001486
131,3498.83,0.30017,0.45315,0.23733,0,0,0,0,nan,nan,nan,0.000142,0.000142,0.000142
132,3525.14,0.29706,0.45212,0.23385,0,0,0,0,nan,nan,nan,0.0001354,0.0001354,0.0001354
133,3551.23,0.30094,0.4561,0.23405,0,0,0,0,nan,nan,nan,0.0001288,0.0001288,0.0001288
134,3577.53,0.29731,0.45751,0.23511,0,0,0,0,nan,nan,nan,0.0001222,0.0001222,0.0001222
135,3603.58,0.29302,0.44011,0.23284,0,0,0,0,nan,nan,nan,0.0001156,0.0001156,0.0001156
136,3630.03,0.29569,0.44518,0.23499,0,0,0,0,nan,nan,nan,0.000109,0.000109,0.000109
137,3656.17,0.29591,0.46041,0.23332,0,0,0,0,nan,nan,nan,0.0001024,0.0001024,0.0001024
138,3682.28,0.29542,0.45356,0.23159,0,0,0,0,nan,nan,nan,9.58e-05,9.58e-05,9.58e-05
139,3708.59,0.28325,0.44481,0.22569,0,0,0,0,nan,nan,nan,8.92e-05,8.92e-05,8.92e-05
140,3734.74,0.28584,0.4532,0.22378,0,0,0,0,nan,nan,nan,8.26e-05,8.26e-05,8.26e-05
141,3761,0.24215,0.40762,0.2388,0,0,0,0,nan,nan,nan,7.6e-05,7.6e-05,7.6e-05
142,3786.6,0.23699,0.38882,0.23167,0,0,0,0,nan,nan,nan,6.94e-05,6.94e-05,6.94e-05
143,3812.45,0.23495,0.38246,0.22866,0,0,0,0,nan,nan,nan,6.28e-05,6.28e-05,6.28e-05
144,3838.07,0.2246,0.36417,0.21384,0,0,0,0,nan,nan,nan,5.62e-05,5.62e-05,5.62e-05
145,3863.67,0.22125,0.36768,0.21812,0,0,0,0,nan,nan,nan,4.96e-05,4.96e-05,4.96e-05
146,3889.5,0.22418,0.36855,0.22058,0,0,0,0,nan,nan,nan,4.3e-05,4.3e-05,4.3e-05
147,3915.15,0.22194,0.35983,0.21568,0,0,0,0,nan,nan,nan,3.64e-05,3.64e-05,3.64e-05
148,3940.94,0.22246,0.35572,0.21909,0,0,0,0,nan,nan,nan,2.98e-05,2.98e-05,2.98e-05
149,3966.51,0.21667,0.33886,0.21061,0,0,0,0,nan,nan,nan,2.32e-05,2.32e-05,2.32e-05
150,3992.18,0.21602,0.34443,0.20276,0,0,0,0,nan,nan,nan,1.66e-05,1.66e-05,1.66e-05
