epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
87,1118.02,1.56606,1.41444,0.03076,0.54866,0.6006,0.60855,0.28957,1.68862,1.53578,0.0372,0.0004324,0.0004324,0.0004324
88,1131.12,1.57114,1.43042,0.03044,0.60059,0.573,0.61562,0.29022,1.70242,1.57759,0.03906,0.0004258,0.0004258,0.0004258
89,1143.74,1.54993,1.43161,0.03001,0.55989,0.58648,0.61014,0.29791,1.66432,1.54507,0.03691,0.0004192,0.0004192,0.0004192
90,1156.32,1.57483,1.41905,0.03077,0.54304,0.59286,0.59747,0.2824,1.73378,1.53912,0.03771,0.0004126,0.0004126,0.0004126
91,1168.97,1.58232,1.4106,0.03074,0.57422,0.55509,0.58789,0.28469,1.74358,1.59548,0.03855,0.000406,0.000406,0.000406
92,1181.21,1.56836,1.40973,0.03059,0.55564,0.58029,0.59289,0.27752,1.78271,1.5499,0.03861,0.0003994,0.0003994,0.0003994
93,1193.92,1.55575,1.39358,0.03035,0.54103,0.57539,0.59948,0.28909,1.78775,1.47545,0.03987,0.0003928,0.0003928,0.0003928
94,1205.97,1.55596,1.39564,0.03013,0.54884,0.59122,0.6015,0.2964,1.7013,1.53229,0.03822,0.0003862,0.0003862,0.0003862
95,1218,1.54616,1.37595,0.02999,0.56023,0.57724,0.60663,0.28934,1.73591,1.53691,0.03781,0.0003796,0.0003796,0.0003796
96,1230.84,1.56076,1.35537,0.02992,0.60384,0.57203,0.623,0.30271,1.74138,1.49266,0.03816,0.000373,0.000373,0.000373
97,1243.12,1.55449,1.40142,0.03041,0.62343,0.59241,0.63904,0.30608,1.74584,1.49001,0.039,0.0003664,0.0003664,0.0003664
98,1257,1.5513,1.36562,0.0303,0.57143,0.56861,0.61317,0.29995,1.74626,1.52435,0.03906,0.0003598,0.0003598,0.0003598
99,1269.64,1.54353,1.34477,0.03019,0.60763,0.56553,0.61735,0.28729,1.82955,1.50057,0.0404,0.0003532,0.0003532,0.0003532
100,1281.73,1.53323,1.37391,0.02983,0.59353,0.59665,0.64069,0.31068,1.70291,1.48433,0.03751,0.0003466,0.0003466,0.0003466
101,1294.75,1.54674,1.37121,0.03011,0.57655,0.62004,0.63807,0.30288,1.72114,1.4628,0.03832,0.00034,0.00034,0.00034
102,1306.83,1.52993,1.34485,0.02981,0.59006,0.60226,0.6348,0.30652,1.68871,1.49168,0.03763,0.0003334,0.0003334,0.0003334
103,1319.47,1.5242,1.34798,0.02943,0.59217,0.60125,0.62113,0.29455,1.76345,1.47222,0.03914,0.0003268,0.0003268,0.0003268
104,1333.11,1.5351,1.35259,0.02944,0.62751,0.57915,0.63867,0.29964,1.73482,1.46467,0.03783,0.0003202,0.0003202,0.0003202
105,1346.61,1.52395,1.33622,0.02983,0.57241,0.62192,0.63074,0.3014,1.74677,1.466,0.03858,0.0003136,0.0003136,0.0003136
106,1358.74,1.52217,1.33027,0.02911,0.60411,0.58787,0.62108,0.29591,1.75984,1.47117,0.03856,0.000307,0.000307,0.000307
107,1371.12,1.50721,1.33568,0.02913,0.58751,0.60855,0.62906,0.30217,1.7171,1.46123,0.03771,0.0003004,0.0003004,0.0003004
108,1383.24,1.50193,1.29824,0.02917,0.56687,0.61806,0.62624,0.29812,1.72783,1.47734,0.03824,0.0002938,0.0002938,0.0002938
109,1397.74,1.49824,1.31669,0.02885,0.59918,0.60162,0.63255,0.30233,1.72254,1.46548,0.03847,0.0002872,0.0002872,0.0002872
110,1410.12,1.4885,1.28329,0.02841,0.60921,0.60442,0.64536,0.31506,1.69535,1.44961,0.03788,0.0002806,0.0002806,0.0002806
111,1422.51,1.49869,1.29755,0.02917,0.57063,0.61496,0.62621,0.30938,1.70156,1.43008,0.0375,0.000274,0.000274,0.000274
112,1435.37,1.48501,1.26867,0.02838,0.6107,0.60772,0.63983,0.31111,1.71903,1.43005,0.03822,0.0002674,0.0002674,0.0002674
113,1447.2,1.4841,1.30167,0.0287,0.6138,0.60136,0.63239,0.30519,1.70724,1.43594,0.03746,0.0002608,0.0002608,0.0002608
114,1460,1.47613,1.30121,0.02853,0.58578,0.61127,0.63298,0.31424,1.67298,1.45691,0.03688,0.0002542,0.0002542,0.0002542
115,1472.11,1.48049,1.28619,0.02848,0.58283,0.63093,0.6469,0.31856,1.69243,1.39103,0.03705,0.0002476,0.0002476,0.0002476
116,1484.41,1.46479,1.26182,0.02825,0.59615,0.61495,0.64072,0.3179,1.67356,1.45488,0.03693,0.000241,0.000241,0.000241
117,1497.03,1.46158,1.26278,0.02829,0.56216,0.63431,0.64583,0.31947,1.69111,1.43324,0.03737,0.0002344,0.0002344,0.0002344
118,1509.45,1.47205,1.26628,0.02846,0.61627,0.64008,0.66121,0.323,1.69734,1.41247,0.03764,0.0002278,0.0002278,0.0002278
119,1521.76,1.46016,1.24875,0.02771,0.61114,0.61941,0.64018,0.31835,1.68825,1.42543,0.03709,0.0002212,0.0002212,0.0002212
120,1534.11,1.47272,1.24011,0.0283,0.60085,0.63152,0.64164,0.31322,1.7131,1.43274,0.03727,0.0002146,0.0002146,0.0002146
121,1546.24,1.45844,1.2555,0.02789,0.61134,0.60773,0.64846,0.32059,1.6684,1.40513,0.03636,0.000208,0.000208,0.000208
122,1558.36,1.48491,1.23664,0.02841,0.59933,0.6362,0.65561,0.31863,1.69127,1.39897,0.03729,0.0002014,0.0002014,0.0002014
123,1570.59,1.45526,1.21377,0.02778,0.57465,0.64112,0.64848,0.31705,1.67941,1.4148,0.03717,0.0001948,0.0001948,0.0001948
124,1582.66,1.46431,1.25901,0.02779,0.60802,0.61114,0.65454,0.32089,1.69376,1.41002,0.0374,0.0001882,0.0001882,0.0001882
